work101.jpg,hudousan,不動産/広告チラシ@@@【ディレクション・デザイン・編集】,dtp,house
work102.jpg,parco 14,PARCO/店舗ポップ@@@【ディレクション・デザイン・編集・印刷】,dtp,fashion
work103.jpg,snap4,fashion snap@@@【編集・スチール撮影】,photo,fashion
work104.jpg,forus19,FORUS/リーフレット@@@【ディレクション・デザイン・編集・スチール撮影・印刷・キャスティング】,dtp,fashion
work105.jpg,taizan8,焼肉 泰山/メニュー@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work106.jpg,taizan9,焼肉 泰山/名刺@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work107.jpg,taizan10,焼肉 泰山/メニュー@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work108.jpg,rakuen2,楽園 パチンコ&スロット/フラッグデザイン@@@【ディレクション・デザイン・編集】,dtp,other
work109.jpg,sara,PLUS ALTRA/フライヤー@@@【ディレクション・デザイン・編集・印刷】,dtp,salon
work110.jpg,snap5,fashion snap@@@【編集・スチール撮影】,photo,fashion
work111.jpg,guild2,GUILD/ヘアショーチケット@@@【ディレクション・デザイン・編集・印刷】,dtp,salon
work112.jpg,forus20,FORUS/イベントリーフレット@@@【ディレクション・デザイン・編集・スチール撮影・印刷・キャスティング】,dtp,fashion
work113.jpg,quroto4,Quroto/メニュー表@@@【【ディレクション・デザイン・編集・印刷】,dtp,salon
work114.jpg,tresor6,Tresor/ロゴ【ディレクション・デザイン・編集・印刷】,dtp,salon
work115.jpg,tresor7,Tresor/名刺@@@【ディレクション・デザイン・編集・印刷】,dtp,salon
work116.jpg,quroto5,Quroto/カルテ@@@【【ディレクション・デザイン・編集・印刷】,dtp,salon
work117.jpg,forus21,FORUS/ヴィジョン動画@@@【ディレクション・デザイン・編集・ムービー撮影・キャスティング】,movie,fashion
work118.jpg,parco15,PARCO/キャンペーンサイト撮影@@@【編集・スチール撮影】,photo,fashion
work119.jpg,forus22,FORUS/ラス地下OPENイベント主催@@@【ディレクション・運営・装飾】,other,fashion
work120.jpg,forus23,FORUS/イベントリーフレット@@@【ディレクション・デザイン・編集・スチール撮影・印刷・キャスティング】,dtp,fashion
work121.jpg,altra5,PLUS ALTRA/フライヤー@@@【ディレクション・デザイン・編集・印刷】,dtp,salon
work122.jpg,sanp6,fashion snap@@@【編集・スチール撮影】,photo,fashion
work123.jpg,parco16,PARCO/instagram snap@@@【編集・スチール撮影】,photo,fashion
work124.jpg,guild3,GUILD/ヘアショーポスター@@@【ディレクション・デザイン・編集・印刷】,dtp,salon
work125.jpg,taizan11,焼肉 泰山/メニュー@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work126.jpg,taizan12,焼肉 泰山/メニュー@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work127.jpg,parco16,PARCO/飲食店撮影@@@【編集・スチール撮影】,photo,food
work128.jpg,florico4,florico/イベントフライヤー@@@【ディレクション・デザイン・編集・印刷】,dtp,other
work129.jpg,snap6,fashion snap@@@【編集・スチール撮影】,photo,fashion
work130.jpg,paris3,パリス・デ・スキン/ポイントカード@@@【ディレクション・デザイン・編集・印刷】,dtp,salon
work131.jpg,car,広告チラシ【ディレクション・デザイン・編集・】,dtp,other
work133.jpg,anton3,ANTON/バナーデザイン@@@【ディレクション・デザイン・WEBデザイン・WEB制作】,web,fashion
work134.jpg,forus24,FORUS/イベントリーフレット@@@【ディレクション・デザイン・編集・スチール撮影・印刷・キャスティング】,dtp,fashion
work135.jpg,forus25,FORUS/イベントリーフレット@@@【ディレクション・デザイン・編集・スチール撮影・印刷・キャスティング】,dtp,fashion
work136.jpg,parco17,PARCO/instagram snap@@@【編集・スチール撮影】,photo,fashion
work137.jpg,forus26,仙台コレクション/【ディレクション・デザイン・編集・スチール撮影・ムービー撮影・加工・印刷・キャスティング・WEBデザイン・WEB制作・運営・装飾】,dtp,
work138.jpg,kurara,地方紙/フリーペーパー@@@【ディレクション・デザイン・編集】,dtp,
work139.jpg,forus27,FORUS/ヴィジョン動画@@@【ディレクション・デザイン・編集・ムービー撮影・キャスティング】,movie,fashion
work140.jpg,parco 18,PARCO/キャンペーンサイト撮影@@@【編集・スチール撮影】,photo,fashion
work141.jpg,quroto6,Quroto/ショップカード@@@【ディレクション・デザイン・編集】,dtp,salon
work142.jpg,tresor7,Tresor/ロゴ@@@【ディレクション・デザイン・編集・印刷】,dtp,salon
work143.jpg,snap7,fashion snap@@@【編集・スチール撮影】,photo,fashion
work144.jpg,taizan13,焼肉 泰山/メニュー@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work145.jpg,taizan14,焼肉 泰山/メニュー@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work146.jpg,snap8,fashion snap@@@【編集・スチール撮影】,photo,fashion
work147.jpg,anto4,ANTON/バナーデザイン@@@【ディレクション・デザイン・WEBデザイン・WEB制作】,web,fashion
work148.jpg,quroto7,Quroto/スタンプカード@@@【ディレクション・デザイン・編集】,dtp,salon
work149.jpg,quroto8,Quroto/スタンプカード@@@【ディレクション・デザイン・編集】,dtp,salon
